RECEIVER_DOCUMENT_TYPE,RECEIVER_IDENTIFICATION_NUMBER,RECEIVER_NAME,RECEIVER_BANK,RECEIVER_ACCOUNT_TYPE,RECEIVER_ACCOUNT_NUMBER,DEBIT_AMOUNT,REFERENCE
3,000000000027705,"Luis Ramirez",1058,1,00000000000012519,644362.15,"NNKFEE9860"
2,000000000016678,"Gabriela Ortiz",1061,1,00000000000020516,128673.09,"3DW2ZU8809"
3,000000000020205,"Pedro Herrera",1059,1,00000000000017698,940564.31,"74CBK20551"
3,000000000004230,"Pedro Herrera",1061,1,00000000000021480,591733.07,"KFPEWT1332"
3,000000000011829,"Maria Lopez",1061,2,00000000000031948,821348.37,"S3YK0Y9714"
1,000000000024095,"Pedro Herrera",1059,2,00000000000024436,384995.18,"LO4T2V6646"
1,000000000031443,"Gabriela Ortiz",1058,1,00000000000009466,65913.58,"78D6NB4506"
3,000000000006828,"Maria Lopez",1058,1,00000000000004464,226425.04,"KNNUQW0197"
2,000000000003429,"Gabriela Ortiz",1058,1,00000000000021392,25979.11,"K3JG7S1501"
3,000000000032349,"Juan Perez",1060,2,00000000000000426,495413.03,"JIHLNE0445"
3,000000000003435,"Maria Lopez",1063,1,00000000000013664,767798.47,"Y9Z6LR2712"
4,000000000030846,"Juan Perez",1063,2,00000000000008438,246103.55,"I4JX798720"
1,000000000001983,"Juan Perez",1062,2,00000000000004058,610543.95,"XPC0MB2758"
3,000000000003321,"Carlos Gonzalez",1062,2,00000000000003397,423303.26,"177PNL4424"
5,000000000023868,"Luis Ramirez",1058,2,00000000000028301,785414.11,"JULFWN0538"
1,000000000001441,"Juan Perez",1060,2,00000000000012371,730969.25,"HHFVOQ8880"
1,000000000010830,"Ana Martinez",1058,2,00000000000008268,971693.16,"JSC1FV8815"
1,000000000023649,"Ana Martinez",1062,2,00000000000008648,402056.74,"QJE5EO3341"
2,000000000005242,"Luis Ramirez",1061,1,00000000000008337,177865.80,"JWTTA26088"
2,000000000001975,"Pedro Herrera",1060,2,00000000000009380,403621.95,"RSOCDZ7959"
5,000000000005554,"Pedro Herrera",1058,1,00000000000029763,418450.33,"02JGWZ3922"
5,000000000019919,"Sofia Morales",1062,2,00000000000032326,442870.90,"CLD29R6334"
1,000000000030008,"Juan Perez",1058,1,00000000000001060,761111.43,"NNB2QZ8864"
2,000000000014673,"Sofia Morales",1062,2,00000000000023186,170593.52,"3H5NP25065"
1,000000000006439,"Maria Lopez",1060,2,00000000000006776,141009.92,"PZPGP76326"
5,000000000008973,"Maria Lopez",1058,2,00000000000017912,649769.39,"LY570O1362"
2,000000000008112,"Maria Lopez",1062,2,00000000000026695,858600.75,"TJ1FLW6410"
2,000000000006416,"Gabriela Ortiz",1062,1,00000000000025786,291271.45,"4K7B6P7862"
2,000000000029820,"Luis Ramirez",1059,1,00000000000000147,463801.19,"AD0NMW4103"
4,000000000008681,"Pedro Herrera",1062,1,00000000000009859,331599.08,"J7DE7X0916"
3,000000000028588,"Carlos Gonzalez",1062,1,00000000000028177,397864.79,"TAI1423073"
3,000000000032375,"Gabriela Ortiz",1059,1,00000000000017808,683243.41,"ENRWKF8436"
4,000000000022859,"Carlos Gonzalez",1060,1,00000000000032648,378591.02,"PQ15UB7994"
2,000000000028201,"Pedro Herrera",1061,2,00000000000009942,946239.80,"ITGC3I4008"
3,000000000029586,"Maria Lopez",1063,1,00000000000022115,848447.02,"EO89902816"
4,000000000026693,"Ana Martinez",1062,1,00000000000012411,300107.07,"CUKNX59593"
2,000000000014634,"Maria Lopez",1060,1,00000000000006818,714309.68,"RYFNDX8814"
5,000000000026218,"Sofia Morales",1059,1,00000000000018199,863320.74,"WT2K0I3250"
4,000000000025817,"Sofia Morales",1058,2,00000000000025712,672108.10,"TMC8DN7814"
4,000000000012562,"Carlos Gonzalez",1060,1,00000000000019846,861961.19,"GKDWJL4004"
3,000000000004555,"Pedro Herrera",1060,2,00000000000008303,275875.12,"0DXRRT0512"
2,000000000009411,"Maria Lopez",1060,1,00000000000006918,877685.36,"WY9HCP4793"
4,000000000030765,"Ana Martinez",1060,1,00000000000009136,228107.45,"S9OOBS7314"
3,000000000001016,"Luis Ramirez",1060,1,00000000000030793,715914.87,"P2K6HX9016"
2,000000000001113,"Sofia Morales",1060,2,00000000000000358,452549.50,"HGUD4V5825"
2,000000000013406,"Carlos Gonzalez",1062,1,00000000000022662,985727.57,"6ZUQI43722"
4,000000000026372,"Sofia Morales",1058,2,00000000000012162,219489.30,"KL73AN4815"
2,000000000008413,"Pedro Herrera",1060,1,00000000000027706,143363.63,"940VWL2049"
2,000000000030859,"Luis Ramirez",1063,2,00000000000032092,946133.92,"1SNREN0785"
4,000000000028978,"Carlos Gonzalez",1063,1,00000000000028480,486798.19,"P8MF321823"
2,000000000022033,"Pedro Herrera",1058,2,00000000000011031,977201.00,"W55XXV4046"
3,000000000024839,"Luis Ramirez",1062,2,00000000000027057,471926.63,"15GH340120"
5,000000000004543,"Sofia Morales",1063,2,00000000000022450,870419.16,"6S9AXH9224"
3,000000000021966,"Gabriela Ortiz",1061,1,00000000000029184,251806.99,"TZ19WH4107"
4,000000000000186,"Luis Ramirez",1061,1,00000000000019220,97319.28,"4HPOHU0025"
3,000000000014982,"Gabriela Ortiz",1061,2,00000000000002568,622405.87,"T7A1QH3495"
3,000000000022108,"Carlos Gonzalez",1060,2,00000000000000116,257566.66,"9RA3HW8536"
2,000000000001504,"Sofia Morales",1060,1,00000000000020994,796531.22,"P17M728308"
2,000000000002808,"Sofia Morales",1058,2,00000000000023243,3675.24,"UMXE582639"
3,000000000002959,"Luis Ramirez",1060,2,00000000000010942,837385.30,"3ODO2L4091"
3,000000000012834,"Carlos Gonzalez",1059,2,00000000000022212,640186.35,"QLXXET6787"
4,000000000013677,"Juan Perez",1061,1,00000000000001152,290982.84,"0QCU3R9752"
1,000000000026917,"Maria Lopez",1059,1,00000000000028329,621474.72,"D1TVBC3765"
3,000000000030785,"Carlos Gonzalez",1060,1,00000000000016238,899526.73,"KLXNRN5201"
3,000000000026733,"Pedro Herrera",1058,2,00000000000006279,796588.47,"UZP4FW2422"
2,000000000014041,"Maria Lopez",1058,2,00000000000031230,289739.15,"271MKZ1754"
3,000000000025131,"Carlos Gonzalez",1059,2,00000000000023489,961651.66,"9HM2GD2144"
2,000000000018798,"Sofia Morales",1062,2,00000000000015676,838150.67,"U37GDZ6917"
5,000000000030234,"Ana Martinez",1060,2,00000000000018623,315837.82,"6L5PTZ2133"
2,000000000032586,"Luis Ramirez",1060,1,00000000000001044,912204.86,"4TY3GQ2137"
2,000000000020250,"Maria Lopez",1062,1,00000000000010643,531706.91,"AMS3KP2170"
3,000000000015361,"Pedro Herrera",1058,2,00000000000028245,232216.49,"N13JIB7401"
4,000000000015659,"Luis Ramirez",1059,1,00000000000026281,739635.68,"9A5SNA5105"
4,000000000026158,"Gabriela Ortiz",1058,1,00000000000024738,427653.90,"3O1P537817"
1,000000000021639,"Ana Martinez",1062,1,00000000000000560,518922.22,"O6I0Z86836"
2,000000000029018,"Juan Perez",1059,1,00000000000032699,559300.84,"TYWHK76471"
4,000000000021465,"Luis Ramirez",1061,1,00000000000026863,658524.02,"FYV2GL3964"
5,000000000015651,"Carlos Gonzalez",1060,2,00000000000012342,209658.11,"OM01JC5626"
4,000000000003677,"Maria Lopez",1059,2,00000000000012423,152718.42,"55SRRJ6493"
5,000000000018335,"Ana Martinez",1063,2,00000000000027778,83868.64,"FIUB638642"
2,000000000007793,"Sofia Morales",1058,2,00000000000009115,85565.75,"1TQPM09346"
4,000000000028457,"Luis Ramirez",1059,2,00000000000007848,77886.73,"188N0U0361"
3,000000000023341,"Maria Lopez",1058,2,00000000000008582,626031.65,"61UWUR2994"
3,000000000003977,"Luis Ramirez",1060,1,00000000000025465,554740.74,"0S540R1203"
5,000000000005205,"Sofia Morales",1060,2,00000000000023675,570112.83,"QZCPZ94577"
4,000000000014653,"Pedro Herrera",1060,2,00000000000023661,666301.30,"A8HG300066"
4,000000000028624,"Juan Perez",1060,2,00000000000004158,254183.71,"LWUEHT2742"
4,000000000031174,"Ana Martinez",1058,2,00000000000010627,14364.89,"9E0DR21667"
3,000000000018352,"Pedro Herrera",1061,2,00000000000013264,898223.68,"4MEI2G8584"
4,000000000020131,"Carlos Gonzalez",1060,1,00000000000023902,722194.55,"PQXZVN6216"
3,000000000026564,"Maria Lopez",1062,2,00000000000029504,694035.03,"QL4RE94376"
2,000000000002823,"Gabriela Ortiz",1058,1,00000000000022704,851908.97,"JSUWUJ3090"
4,000000000029736,"Sofia Morales",1063,2,00000000000007476,261694.22,"KYII532072"
2,000000000001632,"Sofia Morales",1060,1,00000000000019878,708746.00,"G7O92T2305"
2,000000000031754,"Maria Lopez",1063,2,00000000000028250,548984.93,"TDAKT87926"
5,000000000016319,"Sofia Morales",1059,1,00000000000013995,170365.34,"F6HKZP9074"
1,000000000009958,"Carlos Gonzalez",1058,2,00000000000029881,918207.81,"2YMFOX1463"
4,000000000030438,"Ana Martinez",1059,2,00000000000021865,304900.74,"06QBT18395"
4,000000000013268,"Juan Perez",1059,2,00000000000011602,89418.94,"TZDJDF0995"
5,000000000007713,"Gabriela Ortiz",1061,2,00000000000014749,912764.86,"7E1Z1H5126"
1,000000000024867,"Pedro Herrera",1062,1,00000000000001077,395763.34,"C91A663327"
4,000000000015334,"Pedro Herrera",1063,1,00000000000013688,561094.34,"EDI29B8815"
3,000000000018597,"Maria Lopez",1062,2,00000000000026743,447269.43,"MROY0I3973"
5,000000000009722,"Juan Perez",1060,2,00000000000023930,814290.99,"WKS0H10406"
5,000000000021886,"Sofia Morales",1063,2,00000000000008406,711001.89,"BVFMEB0547"
2,000000000006994,"Carlos Gonzalez",1063,2,00000000000014333,414677.52,"AMGFA85494"
3,000000000008445,"Carlos Gonzalez",1059,2,00000000000027338,292049.12,"J0XD2T2101"
3,000000000028569,"Pedro Herrera",1062,1,00000000000021593,306752.11,"W3NY6Y4030"
3,000000000000208,"Luis Ramirez",1060,2,00000000000021882,887013.02,"JSAPS59391"
1,000000000007453,"Ana Martinez",1061,2,00000000000028651,662762.04,"YDW4UB7314"
2,000000000015276,"Pedro Herrera",1058,1,00000000000001698,724583.43,"TVD4SY0450"
3,000000000021376,"Pedro Herrera",1063,2,00000000000023490,104837.68,"YE40OU0483"
4,000000000011902,"Gabriela Ortiz",1059,2,00000000000006668,539575.99,"VJUMW54488"
4,000000000002377,"Maria Lopez",1062,2,00000000000012651,919233.82,"1PG3AF8067"
3,000000000025447,"Sofia Morales",1063,1,00000000000001599,743707.24,"VESDS91575"
3,000000000016825,"Ana Martinez",1060,1,00000000000032564,203102.29,"GMA0AR0949"
1,000000000009842,"Carlos Gonzalez",1059,1,00000000000002075,481877.45,"KLOP0X5127"
4,000000000002454,"Sofia Morales",1060,2,00000000000014824,777671.64,"5SWO7A4550"
1,000000000008721,"Maria Lopez",1059,2,00000000000010978,290039.42,"XXHNZM0831"
2,000000000014959,"Gabriela Ortiz",1058,1,00000000000001321,584544.13,"CA6NGN5449"
3,000000000008297,"Carlos Gonzalez",1061,1,00000000000028334,464129.04,"2FBIE00157"
1,000000000004630,"Pedro Herrera",1061,2,00000000000009390,105373.49,"YDOWQA2921"
3,000000000012399,"Luis Ramirez",1062,2,00000000000026265,788926.14,"NZ5MRC0114"
5,000000000026628,"Juan Perez",1058,2,00000000000006426,564618.82,"1JXFI69607"
5,000000000025711,"Gabriela Ortiz",1061,2,00000000000031167,534449.01,"NM4PQD2080"
4,000000000019564,"Sofia Morales",1059,2,00000000000016385,103588.70,"9O3LWN0778"
1,000000000005541,"Ana Martinez",1060,1,00000000000020770,738999.62,"YPK2OC5651"
5,000000000020939,"Gabriela Ortiz",1058,2,00000000000008119,645671.10,"60V01M7860"
2,000000000015970,"Juan Perez",1059,2,00000000000015635,687850.68,"YXCJJY8101"
1,000000000000514,"Gabriela Ortiz",1059,1,00000000000002086,722219.31,"DVRV6N9514"
3,000000000020416,"Sofia Morales",1061,1,00000000000019350,872368.90,"PXVMV04904"
2,000000000031200,"Juan Perez",1059,2,00000000000012192,176390.23,"YHOZ8A9862"
1,000000000004435,"Maria Lopez",1063,1,00000000000027662,350658.77,"TJNHV61195"
3,000000000028358,"Gabriela Ortiz",1058,1,00000000000031919,208573.90,"PL5LAK6327"
3,000000000032011,"Sofia Morales",1061,2,00000000000006559,945343.19,"S5G5LF7191"
1,000000000020999,"Gabriela Ortiz",1059,1,00000000000012987,154236.47,"51YKKZ9506"
3,000000000020605,"Sofia Morales",1063,1,00000000000000300,188205.24,"81NATZ9219"
1,000000000012324,"Juan Perez",1061,1,00000000000013752,812624.74,"WKFIM09921"
4,000000000018921,"Ana Martinez",1061,2,00000000000001260,823231.02,"AJWXSU8731"
3,000000000001841,"Pedro Herrera",1062,2,00000000000007896,757660.01,"WV05YZ6649"
1,000000000007223,"Luis Ramirez",1059,1,00000000000008473,81627.92,"HS2JNP4467"
1,000000000020779,"Gabriela Ortiz",1059,2,00000000000006771,614079.51,"N2UZUK3292"
1,000000000027066,"Maria Lopez",1058,1,00000000000012289,14492.98,"3VXJ9W5401"
3,000000000021282,"Pedro Herrera",1062,1,00000000000031170,428941.86,"NARYKZ7047"
5,000000000008385,"Carlos Gonzalez",1060,1,00000000000023591,86818.70,"M5S8SI6990"
4,000000000014555,"Ana Martinez",1063,2,00000000000016735,851405.55,"7DEMI61581"
4,000000000008755,"Juan Perez",1058,1,00000000000029637,566336.41,"ZVK9WI2844"
1,000000000000238,"Maria Lopez",1063,1,00000000000004660,70842.21,"7P7IF50826"
3,000000000011949,"Carlos Gonzalez",1062,1,00000000000003432,793111.17,"5BRJTL0667"
1,000000000019571,"Pedro Herrera",1058,1,00000000000019146,864439.65,"HRWGPS1117"
3,000000000002031,"Juan Perez",1063,2,00000000000015744,347070.09,"4KJS0E2908"
3,000000000027801,"Maria Lopez",1060,2,00000000000029795,726488.99,"5CMEKS4669"
5,000000000023893,"Gabriela Ortiz",1058,2,00000000000026465,21568.90,"39LYKY1110"
3,000000000023664,"Gabriela Ortiz",1059,1,00000000000002039,413559.32,"66J9TU2725"
1,000000000029179,"Sofia Morales",1060,2,00000000000013499,982005.45,"8M0QY40390"
4,000000000020518,"Ana Martinez",1059,2,00000000000025285,773072.15,"FBYYUA3388"
4,000000000029000,"Sofia Morales",1059,2,00000000000021162,305348.65,"PFEIMZ7249"
4,000000000015263,"Luis Ramirez",1063,2,00000000000015963,331911.08,"C2CYN90156"
4,000000000013739,"Juan Perez",1060,1,00000000000008392,833868.56,"49AD4E3790"
1,000000000015986,"Ana Martinez",1063,2,00000000000002196,505696.44,"DTLA871051"
1,000000000030905,"Gabriela Ortiz",1060,2,00000000000020159,457059.35,"PJB1OD7495"
2,000000000012972,"Sofia Morales",1061,1,00000000000026020,68942.13,"55VQ1P2360"
3,000000000001251,"Gabriela Ortiz",1061,1,00000000000026489,283853.73,"7YKI1K4209"
1,000000000022434,"Pedro Herrera",1061,1,00000000000010424,404954.74,"MPEGU01401"
5,000000000003303,"Sofia Morales",1061,1,00000000000007129,144533.25,"PJHMDE4332"
3,000000000021315,"Gabriela Ortiz",1062,1,00000000000030600,721137.02,"OV6BR89129"
5,000000000019832,"Sofia Morales",1061,1,00000000000016129,205233.56,"GHMNFL8615"
3,000000000026316,"Gabriela Ortiz",1059,1,00000000000020073,423596.23,"SPYMQ09044"
1,000000000018855,"Maria Lopez",1061,2,00000000000004903,721951.74,"URKPRL5369"
5,000000000006088,"Sofia Morales",1060,1,00000000000012980,46971.46,"27TV6J0994"
2,000000000008264,"Maria Lopez",1058,2,00000000000001698,263833.89,"Q96T8W8761"
4,000000000014888,"Luis Ramirez",1063,2,00000000000022244,714359.17,"KNNDW75516"
3,000000000014525,"Pedro Herrera",1059,1,00000000000008446,290512.70,"KNMAMN3419"
3,000000000031502,"Sofia Morales",1061,1,00000000000020334,442561.02,"B7JQQF9699"
2,000000000006816,"Ana Martinez",1059,1,00000000000030751,16164.86,"4DKXVJ5545"
3,000000000032248,"Luis Ramirez",1063,2,00000000000009817,238103.61,"5PXNDD1456"
2,000000000029893,"Sofia Morales",1059,2,00000000000016865,426190.28,"UHCH7B3904"
2,000000000029491,"Sofia Morales",1058,2,00000000000031111,706314.86,"LXZ5ZA0691"
3,000000000005269,"Sofia Morales",1062,1,00000000000002471,90107.30,"7B8P9O2013"
3,000000000024047,"Luis Ramirez",1062,2,00000000000030928,633189.79,"88OIO52829"
2,000000000025902,"Maria Lopez",1062,1,00000000000025353,938510.64,"9CINEC8303"
1,000000000031532,"Sofia Morales",1059,2,00000000000009689,105624.91,"8FFHDB3066"
5,000000000018588,"Luis Ramirez",1059,2,00000000000026262,709420.55,"JFJN856670"
4,000000000010659,"Juan Perez",1062,2,00000000000002845,567661.13,"KSSPYA6398"
4,000000000030815,"Sofia Morales",1061,2,00000000000027279,553706.98,"7U8Z224778"
5,000000000023199,"Luis Ramirez",1060,1,00000000000025625,540273.25,"7IKEG09018"
1,000000000018074,"Pedro Herrera",1063,1,00000000000017716,427857.73,"ULZ64W2399"
4,000000000031237,"Carlos Gonzalez",1059,2,00000000000000679,948327.90,"AGQ3W41495"
1,000000000001485,"Luis Ramirez",1059,2,00000000000015990,394864.61,"6V3Z0S0539"
3,000000000004512,"Pedro Herrera",1061,2,00000000000005225,548328.20,"H6OIJY1773"
1,000000000025106,"Carlos Gonzalez",1062,2,00000000000028284,227677.09,"MTKMV50380"
2,000000000025342,"Ana Martinez",1059,2,00000000000018880,785029.46,"TLP0LX2266"
3,000000000020247,"Luis Ramirez",1060,2,00000000000003971,912997.47,"6WG9MD6754"
1,000000000000967,"Gabriela Ortiz",1060,1,00000000000008366,273793.87,"091SG21539"
1,000000000030601,"Pedro Herrera",1061,1,00000000000032676,392358.02,"FUNBNX3759"
1,000000000015603,"Ana Martinez",1061,2,00000000000008931,949959.78,"H1EUUJ4989"
3,000000000005989,"Juan Perez",1059,2,00000000000026147,122.87,"NIVXXI8450"
3,000000000029475,"Gabriela Ortiz",1059,2,00000000000013678,985609.31,"JOHHCT0111"
1,000000000022713,"Luis Ramirez",1060,1,00000000000014117,243207.34,"DP78YK4082"
4,000000000029858,"Carlos Gonzalez",1059,2,00000000000002662,959722.06,"S01VSL4507"
2,000000000029051,"Pedro Herrera",1059,2,00000000000009888,141432.85,"D990T97625"
1,000000000032035,"Sofia Morales",1063,2,00000000000015984,307108.37,"58XYPV1479"
3,000000000024858,"Luis Ramirez",1062,1,00000000000021602,180745.48,"OBCAGF1636"
5,000000000018432,"Gabriela Ortiz",1062,2,00000000000018214,54186.66,"H2O88S2259"
4,000000000028606,"Sofia Morales",1058,2,00000000000009999,289967.82,"7QCUWD2491"
4,000000000011086,"Maria Lopez",1060,2,00000000000014952,373108.83,"41V6X35241"
1,000000000016996,"Ana Martinez",1063,1,00000000000021442,638461.81,"U9MP761107"
4,000000000021206,"Juan Perez",1062,2,00000000000022062,160880.61,"BW1PRB4629"
3,000000000026227,"Sofia Morales",1063,1,00000000000010814,494841.70,"UOCCU93524"
3,000000000013978,"Juan Perez",1060,2,00000000000015214,609706.76,"98523S1846"
1,000000000008576,"Luis Ramirez",1059,2,00000000000004231,662005.65,"5OF1RH8003"
2,000000000013412,"Ana Martinez",1062,2,00000000000010605,362044.56,"D2TXZB7636"
4,000000000019395,"Maria Lopez",1059,2,00000000000009381,298389.08,"SXY63L0707"
2,000000000011824,"Ana Martinez",1062,2,00000000000026365,127646.54,"6CHYCN1325"
5,000000000000786,"Carlos Gonzalez",1063,1,00000000000028594,133049.03,"PT5Q811291"
1,000000000012615,"Luis Ramirez",1059,2,00000000000009873,334511.78,"TT4FV40420"
4,000000000010724,"Pedro Herrera",1061,2,00000000000023751,549158.64,"3Y90K89104"
4,000000000011566,"Sofia Morales",1059,2,00000000000018705,158607.01,"O5GNAX7174"
3,000000000009571,"Carlos Gonzalez",1060,1,00000000000008188,296378.91,"G1GPWL2599"
5,000000000020467,"Juan Perez",1061,2,00000000000000771,597116.46,"IIJ7FO3306"
4,000000000016768,"Maria Lopez",1059,2,00000000000024492,317576.44,"VQFT8Z9759"
1,000000000003545,"Juan Perez",1062,2,00000000000026088,3828.75,"DW076C1174"
1,000000000008345,"Ana Martinez",1060,2,00000000000027366,381643.55,"FWS5I33836"
3,000000000000359,"Carlos Gonzalez",1061,2,00000000000016231,219167.39,"FH7W121493"
1,000000000019017,"Gabriela Ortiz",1059,1,00000000000026030,865138.51,"42GJ2T3003"
2,000000000026094,"Carlos Gonzalez",1058,1,00000000000030186,184523.59,"6SQ6332084"
1,000000000023119,"Gabriela Ortiz",1060,2,00000000000026320,301573.19,"8E24MB3278"
3,000000000021854,"Maria Lopez",1061,2,00000000000003726,892704.94,"77MT9E1154"
5,000000000030269,"Maria Lopez",1062,2,00000000000024789,187168.20,"ONBQ010305"
5,000000000012737,"Gabriela Ortiz",1061,1,00000000000028749,269579.00,"XE5LXE3754"
2,000000000029545,"Ana Martinez",1059,2,00000000000009370,433000.07,"T0P0BW2368"
3,000000000027648,"Juan Perez",1063,2,00000000000003807,551194.01,"TGWBFU1250"
3,000000000015710,"Ana Martinez",1061,1,00000000000009759,451179.59,"X6BE0I7342"
2,000000000031513,"Luis Ramirez",1059,1,00000000000027405,203109.81,"PUHUFK2268"
3,000000000026326,"Maria Lopez",1059,2,00000000000028769,981693.30,"BPQ1GT0297"
2,000000000029391,"Juan Perez",1062,1,00000000000018701,969058.82,"TN31859463"
3,000000000016193,"Maria Lopez",1059,1,00000000000010969,194460.51,"0EYLI81561"
1,000000000028086,"Ana Martinez",1058,1,00000000000015946,82812.16,"RHI61A7085"
5,000000000031267,"Carlos Gonzalez",1059,2,00000000000000173,345265.01,"LF77BL8908"
3,000000000017802,"Sofia Morales",1060,1,00000000000004954,646128.24,"JQ3LC48378"
1,000000000020415,"Gabriela Ortiz",1058,2,00000000000008843,294378.19,"25SBFL9759"
4,000000000021148,"Pedro Herrera",1059,1,00000000000018292,351374.43,"AGRPB72550"
5,000000000003379,"Juan Perez",1060,1,00000000000007032,961316.52,"IYZUQD7990"
3,000000000010953,"Gabriela Ortiz",1063,2,00000000000003009,949283.40,"5INRI15183"
5,000000000021805,"Luis Ramirez",1058,1,00000000000018501,658890.40,"3WHSPU2801"
2,000000000029196,"Gabriela Ortiz",1058,2,00000000000008273,220539.12,"BG6YQ11972"
3,000000000024088,"Ana Martinez",1060,2,00000000000017655,436349.17,"0AWA9L0159"
2,000000000008034,"Sofia Morales",1060,2,00000000000006208,732281.42,"AKLH8W3344"
3,000000000015275,"Pedro Herrera",1062,2,00000000000011327,154056.81,"VA2V3C7178"
4,000000000030930,"Ana Martinez",1059,2,00000000000028940,490401.24,"CFCU5Z2718"
3,000000000010419,"Ana Martinez",1061,2,00000000000019200,338038.46,"4X5R2H1993"
4,000000000024861,"Juan Perez",1063,1,00000000000018369,819371.34,"REJM5Q0777"
5,000000000030434,"Luis Ramirez",1060,1,00000000000001394,48017.67,"IP9POW4321"
3,000000000014975,"Maria Lopez",1058,1,00000000000010455,687755.14,"M6BF695637"
5,000000000022456,"Juan Perez",1059,1,00000000000005249,391515.03,"STG89E2590"
1,000000000009507,"Sofia Morales",1059,2,00000000000013721,123435.68,"7KGOYS5585"
4,000000000020517,"Maria Lopez",1063,2,00000000000025653,181953.23,"GJI3KN6353"
1,000000000014804,"Sofia Morales",1061,1,00000000000020655,249248.65,"Z74SC48460"
1,000000000004648,"Sofia Morales",1061,2,00000000000016654,427713.47,"WS3AI58913"
2,000000000025731,"Gabriela Ortiz",1060,1,00000000000001222,882877.91,"FENR0Y4665"
2,000000000030046,"Maria Lopez",1061,1,00000000000021201,750105.00,"GGTMN20438"
1,000000000023311,"Juan Perez",1060,1,00000000000019782,596409.77,"9SFK519253"
4,000000000016322,"Maria Lopez",1063,2,00000000000006417,594655.02,"17CUJD5036"
3,000000000004279,"Carlos Gonzalez",1060,2,00000000000023889,650434.27,"8707QH0804"
2,000000000009747,"Juan Perez",1061,2,00000000000004929,306609.67,"ATJO5B8226"
5,000000000003957,"Pedro Herrera",1059,2,00000000000002024,675054.66,"QXURCG3425"
5,000000000027984,"Juan Perez",1063,2,00000000000011659,246506.89,"RWM96F5649"
5,000000000007123,"Gabriela Ortiz",1063,1,00000000000031855,2160.00,"HKOU265651"
1,000000000032205,"Luis Ramirez",1062,1,00000000000007323,12233.54,"98VN9P9932"
3,000000000020263,"Juan Perez",1062,2,00000000000019874,861545.64,"FGKZ010875"
2,000000000012043,"Maria Lopez",1059,1,00000000000001620,457520.86,"WT8JSI5880"
4,000000000021226,"Gabriela Ortiz",1058,1,00000000000027556,342900.82,"75H9TD0458"
2,000000000026963,"Gabriela Ortiz",1060,1,00000000000013015,790634.23,"9W2I0P4850"
